fold,probe_id
4,213834_at
4,213838_at
4,213872_at
4,213877_x_at
4,213896_x_at
4,213971_s_at
4,214071_at
4,214076_at
4,214162_at
4,214220_s_at
4,214231_s_at
4,214237_x_at
4,214279_s_at
4,214353_at
4,214400_at
4,214425_at
4,214474_at
4,214501_s_at
4,214502_at
4,214638_s_at
4,214723_x_at
4,214746_s_at
4,214776_x_at
4,214826_at
4,214832_at
4,214908_s_at
4,214960_at
4,214979_at
4,215025_at
4,215080_s_at
4,215081_at
4,215103_at
4,215120_s_at
4,215177_s_at
4,215188_at
4,215189_at
4,215233_at
4,215240_at
4,215305_at
4,215311_at
4,215319_at
4,215328_at
4,215339_at
4,215348_at
4,215365_at
4,215424_s_at
4,215441_at
4,215448_at
4,215461_at
4,215481_s_at
4,215495_s_at
4,215572_at
4,215574_at
4,215583_at
4,215611_at
4,215621_s_at
4,215663_at
4,215695_s_at
4,215696_s_at
4,215704_at
4,215722_s_at
4,215724_at
4,215733_x_at
4,215734_at
4,215746_at
4,215767_at
4,215769_at
4,215818_at
4,215825_at
4,215863_at
4,215900_at
4,215943_at
4,215969_at
4,215981_at
4,216023_at
4,216140_at
4,216148_at
4,216167_at
4,216171_at
4,216186_at
4,216241_s_at
4,216258_s_at
4,216313_at
4,216318_at
4,216319_at
4,216353_s_at
4,216370_s_at
4,216386_at
4,216426_at
4,216443_at
4,216567_at
4,216618_at
4,216651_s_at
4,216664_at
4,216667_at
4,216674_at
4,216685_s_at
4,216706_x_at
4,216720_at
4,216740_at
4,216780_at
4,216786_at
4,216817_s_at
4,216831_s_at
4,216896_at
4,216941_s_at
4,216958_s_at
4,216995_x_at
4,217083_at
4,217118_s_at
4,217126_at
4,217129_at
4,217136_at
4,217145_at
4,217160_at
4,217251_x_at
4,217254_s_at
4,217328_at
4,217340_at
4,217349_s_at
4,217352_at
4,217380_s_at
4,217389_s_at
4,217416_x_at
4,217422_s_at
4,217426_at
4,217434_at
4,217447_at
4,217450_at
4,217458_at
4,217493_x_at
4,217498_at
4,217504_at
4,217506_at
4,217584_at
4,217612_at
4,217667_at
4,217696_at
4,217736_s_at
4,217744_s_at
4,217781_s_at
4,217814_at
4,217820_s_at
4,217858_s_at
4,217911_s_at
4,217935_s_at
4,217949_s_at
4,217951_s_at
4,217968_at
4,217996_at
4,217997_at
4,217999_s_at
4,218029_at
4,218034_at
4,218066_at
4,218185_s_at
4,218248_at
4,218273_s_at
4,218274_s_at
4,218347_at
4,218350_s_at
4,218362_s_at
4,218373_at
4,218375_at
4,218390_s_at
4,218399_s_at
4,218419_s_at
4,218427_at
4,218435_at
4,218489_s_at
4,218501_at
4,218511_s_at
4,218528_s_at
4,218604_at
4,218611_at
4,218657_at
4,218693_at
4,218708_at
4,218730_s_at
4,218739_at
4,218761_at
4,218773_s_at
4,218833_at
4,218835_at
4,218863_s_at
4,218902_at
4,218905_at
4,218953_s_at
4,218956_s_at
4,219005_at
4,219045_at
4,219051_x_at
4,219095_at
4,219185_at
4,219230_at
4,219251_s_at
4,219276_x_at
4,219284_at
4,219305_x_at
4,219369_s_at
4,219443_at
4,219467_at
4,219499_at
4,219512_at
4,219529_at
4,219539_at
4,219586_at
4,219615_s_at
4,219638_at
4,219683_at
4,219700_at
4,219719_at
4,219726_at
4,219730_at
4,219742_at
4,219744_at
4,219800_s_at
4,219841_at
4,219847_at
4,219860_at
4,219915_s_at
4,219951_s_at
4,219987_at
4,220077_at
4,220126_at
4,220131_at
4,220238_s_at
4,220242_x_at
4,220262_s_at
4,220281_at
4,220284_at
4,220295_x_at
4,220364_at
4,220396_at
4,220400_at
4,220415_at
4,220457_at
4,220493_at
4,220495_s_at
4,220503_at
4,220507_s_at
4,220523_at
4,220619_at
4,220647_s_at
4,220695_at
